HOL,TSB
0,
1,15.9
2,16.1
3,16.2
4,16.4
5,16.5
6,16.7
7,16.8
8,16.9
9,17.1
10,17.2
11,17.4
12,17.5
13,17.7
14,17.8
15,17.9
16,18.1
17,18.2
18,18.3
19,18.5
20,18.6
21,18.7
22,18.7
23,18.9
24,19.1
25,19.2
26,19.4
27,19.5
28,19.6
29,19.7
30,19.9
31,20
32,20.1
33,20.2
34,20.4
35,20.5
36,20.6
37,20.7
38,20.8
39,20.9
40,21
41,21.2
42,21.3
43,21.4
44,21.5
45,21.6
46,21.6
47,21.7
48,21.9
49,22
50,22.1
51,22.2
52,22.3
53,22.4
54,22.5
55,22.6
56,22.7
57,22.8
58,22.9
59,23
60,23.1
61,23.2
62,23.2
63,23.3
64,23.4
65,23.5
66,23.6
67,23.7
68,23.8
69,23.8
70,23.8
71,23.9
72,24.1
73,24.1
74,24.2
75,24.3
76,24.4
77,24.4
78,24.5
79,24.6
80,24.6
81,24.7
82,24.8
83,24.8
84,24.9
85,25
86,25
87,25.1
88,25.2
89,25.2
90,25.3
91,25.3
92,25.4
93,25.4
94,25.4
95,25.5
96,25.5
97,25.5
98,25.5
99,25.6
100,25.6
101,25.6
102,25.6
103,25.6
104,25.6
105,25.6
106,25.6
107,25.6
108,25.6
109,25.6
110,25.6
111,25.7
112,25.7
113,25.7
114,25.7
115,25.7
116,25.7
117,25.7
118,25.7
119,25.7
120,25.7
121,25.7
122,25.7
123,25.7
124,25.8
125,25.8
126,25.8
127,25.8
128,25.8
129,25.8
130,25.8
131,25.8
132,25.8
133,25.8
134,25.8
135,25.8
136,25.8
137,25.9
138,25.9
139,25.9
140,25.9
141,25.9
142,25.9
143,25.9
144,25.9
145,25.9
146,25.9
147,25.9
148,25.9
149,25.9
150,26
151,26
152,26
153,26
154,26
155,26
156,26
157,26
158,26
159,26
160,26
161,26
162,26
163,26
164,26.1
165,26.1
166,26.1
167,26.1
168,26.1
169,26.1
170,26.1
171,26.1
172,26.1
173,26.1
174,26.1
175,26.1
176,26.1
177,26.1
178,26.2
179,26.2
180,26.2
181,26.2
182,26.2
183,26.2
184,26.2
185,26.2
186,26.2
187,26.2
188,26.2
189,26.2
190,26.2
191,26.2
192,26.2
193,26.3
194,26.3
195,26.3
196,26.3
197,26.3
198,26.3
199,26.3
200,26.3
201,26.3
202,26.3
203,26.3
204,26.3
205,26.3
206,26.3
207,26.3
208,26.4
209,26.4
210,26.4
211,26.4
212,26.4
213,26.4
214,26.4
215,26.4
216,26.4
217,26.4
218,26.4
219,26.4
220,26.4
221,26.4
222,26.4
223,26.4
224,26.5
225,26.5
226,26.5
227,26.5
228,26.5
229,26.5
230,26.5
231,26.5
232,26.5
233,26.5
234,26.5
235,26.5
236,26.5
237,26.5
238,26.5
239,26.5
240,26.5
241,26.6
242,26.6
243,26.6
244,26.6
245,26.6
246,26.6
247,26.6
248,26.6
249,26.6
250,26.6
251,26.6
252,26.6
253,26.6
254,26.6
255,26.6
256,26.6
257,26.6
258,26.7
259,26.7
260,26.7
261,26.7
262,26.7
263,26.7
264,26.7
265,26.7
266,26.7
267,26.7
268,26.7
269,26.7
270,26.7
271,26.7
272,26.7
273,26.7
274,26.7
275,26.7
276,26.7
277,26.8
278,26.8
279,26.8
280,26.8
281,26.8
282,26.8
283,26.8
284,26.8
285,26.8
286,26.8
287,26.8
288,26.8
289,26.8
290,26.8
291,26.8
292,26.8
293,26.8
294,26.8
295,26.8
296,26.8
297,26.9
298,26.9
299,26.9
300,26.9
301,26.9
302,26.9
303,26.9
304,26.9
305,26.9
306,26.9
307,26.9
308,26.9
309,26.9
310,26.9
311,26.9
312,26.9
313,26.9
314,26.9
315,26.9
316,26.9
317,26.9
318,27
319,27
320,27
321,27
322,27
323,27
324,27
325,27
326,27
327,27
328,27
329,27
330,27
331,27
332,27
333,27
334,27
335,27
336,27
