HOL,TSB
0,
1,14.9
2,15
3,15.1
4,15.3
5,15.4
6,15.6
7,15.7
8,15.8
9,16
10,16.1
11,16.2
12,16.4
13,16.5
14,16.6
15,16.8
16,16.9
17,17
18,17.2
19,17.3
20,17.4
21,17.5
22,17.5
23,17.7
24,17.9
25,18
26,18.2
27,18.3
28,18.4
29,18.5
30,18.7
31,18.8
32,18.9
33,19
34,19.1
35,19.2
36,19.4
37,19.5
38,19.6
39,19.7
40,19.8
41,19.9
42,20
43,20.1
44,20.2
45,20.3
46,20.3
47,20.5
48,20.7
49,20.8
50,20.9
51,21
52,21.1
53,21.2
54,21.3
55,21.4
56,21.5
57,21.6
58,21.7
59,21.7
60,21.8
61,21.9
62,22
63,22.1
64,22.2
65,22.3
66,22.4
67,22.5
68,22.6
69,22.6
70,22.6
71,22.7
72,22.9
73,23
74,23.1
75,23.1
76,23.2
77,23.3
78,23.4
79,23.4
80,23.5
81,23.6
82,23.7
83,23.7
84,23.8
85,23.9
86,23.9
87,24
88,24
89,24.1
90,24.2
91,24.3
92,24.3
93,24.4
94,24.4
95,24.4
96,24.5
97,24.5
98,24.5
99,24.5
100,24.5
101,24.5
102,24.5
103,24.5
104,24.6
105,24.6
106,24.6
107,24.6
108,24.6
109,24.6
110,24.6
111,24.6
112,24.6
113,24.6
114,24.6
115,24.7
116,24.7
117,24.7
118,24.7
119,24.7
120,24.7
121,24.7
122,24.7
123,24.7
124,24.7
125,24.8
126,24.8
127,24.8
128,24.8
129,24.8
130,24.8
131,24.8
132,24.8
133,24.8
134,24.8
135,24.8
136,24.9
137,24.9
138,24.9
139,24.9
140,24.9
141,24.9
142,24.9
143,24.9
144,24.9
145,24.9
146,24.9
147,25
148,25
149,25
150,25
151,25
152,25
153,25
154,25
155,25
156,25
157,25
158,25
159,25.1
160,25.1
161,25.1
162,25.1
163,25.1
164,25.1
165,25.1
166,25.1
167,25.1
168,25.1
169,25.1
170,25.2
171,25.2
172,25.2
173,25.2
174,25.2
175,25.2
176,25.2
177,25.2
178,25.2
179,25.2
180,25.2
181,25.2
182,25.3
183,25.3
184,25.3
185,25.3
186,25.3
187,25.3
188,25.3
189,25.3
190,25.3
191,25.3
192,25.3
193,25.3
194,25.3
195,25.4
196,25.4
197,25.4
198,25.4
199,25.4
200,25.4
201,25.4
202,25.4
203,25.4
204,25.4
205,25.4
206,25.4
207,25.5
208,25.5
209,25.5
210,25.5
211,25.5
212,25.5
213,25.5
214,25.5
215,25.5
216,25.5
217,25.5
218,25.5
219,25.5
220,25.6
221,25.6
222,25.6
223,25.6
224,25.6
225,25.6
226,25.6
227,25.6
228,25.6
229,25.6
230,25.6
231,25.6
232,25.6
233,25.7
234,25.7
235,25.7
236,25.7
237,25.7
238,25.7
239,25.7
240,25.7
241,25.7
242,25.7
243,25.7
244,25.7
245,25.7
246,25.7
247,25.8
248,25.8
249,25.8
250,25.8
251,25.8
252,25.8
253,25.8
254,25.8
255,25.8
256,25.8
257,25.8
258,25.8
259,25.8
260,25.8
261,25.9
262,25.9
263,25.9
264,25.9
265,25.9
266,25.9
267,25.9
268,25.9
269,25.9
270,25.9
271,25.9
272,25.9
273,25.9
274,25.9
275,25.9
276,26
277,26
278,26
279,26
280,26
281,26
282,26
283,26
284,26
285,26
286,26
287,26
288,26
289,26
290,26
291,26.1
292,26.1
293,26.1
294,26.1
295,26.1
296,26.1
297,26.1
298,26.1
299,26.1
300,26.1
301,26.1
302,26.1
303,26.1
304,26.1
305,26.1
306,26.1
307,26.2
308,26.2
309,26.2
310,26.2
311,26.2
312,26.2
313,26.2
314,26.2
315,26.2
316,26.2
317,26.2
318,26.2
319,26.2
320,26.2
321,26.2
322,26.2
323,26.2
324,26.3
325,26.3
326,26.3
327,26.3
328,26.3
329,26.3
330,26.3
331,26.3
332,26.3
333,26.3
334,26.3
335,26.3
336,26.3
