HOL,TSB
0,
1,6.4
2,6.6
3,6.8
4,7
5,7.2
6,7.4
7,7.6
8,7.8
9,7.9
10,8.1
11,8.3
12,8.5
13,8.7
14,8.9
15,9
16,9.2
17,9.4
18,9.6
19,9.8
20,9.9
21,10
22,10.1
23,10.3
24,10.6
25,10.8
26,10.9
27,11.1
28,11.3
29,11.4
30,11.6
31,11.7
32,11.9
33,12
34,12.2
35,12.3
36,12.5
37,12.6
38,12.8
39,12.9
40,13.1
41,13.2
42,13.4
43,13.5
44,13.6
45,13.7
46,13.8
47,13.9
48,14.2
49,14.3
50,14.4
51,14.5
52,14.7
53,14.8
54,14.9
55,15
56,15.1
57,15.3
58,15.4
59,15.5
60,15.6
61,15.7
62,15.8
63,15.9
64,16
65,16.1
66,16.2
67,16.3
68,16.4
69,16.5
70,16.5
71,16.6
72,16.8
73,16.9
74,17
75,17.1
76,17.2
77,17.3
78,17.4
79,17.5
80,17.5
81,17.6
82,17.7
83,17.8
84,17.8
85,17.9
86,18
87,18.1
88,18.1
89,18.2
90,18.3
91,18.3
92,18.4
93,18.5
94,18.5
95,18.5
96,18.6
97,18.6
98,18.6
99,18.6
100,18.6
101,18.6
102,18.6
103,18.6
104,18.6
105,18.6
106,18.7
107,18.7
108,18.7
109,18.7
110,18.7
111,18.7
112,18.7
113,18.7
114,18.7
115,18.7
116,18.7
117,18.7
118,18.7
119,18.7
120,18.7
121,18.7
122,18.7
123,18.7
124,18.7
125,18.7
126,18.7
127,18.7
128,18.7
129,18.8
130,18.8
131,18.8
132,18.8
133,18.8
134,18.8
135,18.8
136,18.8
137,18.8
138,18.8
139,18.8
140,18.8
141,18.8
142,18.8
143,18.8
144,18.8
145,18.8
146,18.8
147,18.8
148,18.8
149,18.8
150,18.8
151,18.8
152,18.9
153,18.9
154,18.9
155,18.9
156,18.9
157,18.9
158,18.9
159,18.9
160,18.9
161,18.9
162,18.9
163,18.9
164,18.9
165,18.9
166,18.9
167,18.9
168,18.9
169,18.9
170,18.9
171,18.9
172,18.9
173,18.9
174,18.9
175,19
176,19
177,19
178,19
179,19
180,19
181,19
182,19
183,19
184,19
185,19
186,19
187,19
188,19
189,19
190,19
191,19
192,19
193,19
194,19
195,19
196,19
197,19
198,19
199,19.1
200,19.1
201,19.1
202,19.1
203,19.1
204,19.1
205,19.1
206,19.1
207,19.1
208,19.1
209,19.1
210,19.1
211,19.1
212,19.1
213,19.1
214,19.1
215,19.1
216,19.1
217,19.1
218,19.1
219,19.1
220,19.1
221,19.1
222,19.2
223,19.2
224,19.2
225,19.2
226,19.2
227,19.2
228,19.2
229,19.2
230,19.2
231,19.2
232,19.2
233,19.2
234,19.2
235,19.2
236,19.2
237,19.2
238,19.2
239,19.2
240,19.2
241,19.2
242,19.2
243,19.2
244,19.2
245,19.3
246,19.3
247,19.3
248,19.3
249,19.3
250,19.3
251,19.3
252,19.3
253,19.3
254,19.3
255,19.3
256,19.3
257,19.3
258,19.3
259,19.3
260,19.3
261,19.3
262,19.3
263,19.3
264,19.3
265,19.3
266,19.3
267,19.3
268,19.3
269,19.4
270,19.4
271,19.4
272,19.4
273,19.4
274,19.4
275,19.4
276,19.4
277,19.4
278,19.4
279,19.4
280,19.4
281,19.4
282,19.4
283,19.4
284,19.4
285,19.4
286,19.4
287,19.4
288,19.4
289,19.4
290,19.4
291,19.4
292,19.5
293,19.5
294,19.5
295,19.5
296,19.5
297,19.5
298,19.5
299,19.5
300,19.5
301,19.5
302,19.5
303,19.5
304,19.5
305,19.5
306,19.5
307,19.5
308,19.5
309,19.5
310,19.5
311,19.5
312,19.5
313,19.5
314,19.5
315,19.5
316,19.6
317,19.6
318,19.6
319,19.6
320,19.6
321,19.6
322,19.6
323,19.6
324,19.6
325,19.6
326,19.6
327,19.6
328,19.6
329,19.6
330,19.6
331,19.6
332,19.6
333,19.6
334,19.6
335,19.6
336,19.6
